id,real_construction_probability,is_likely_real
238,0.79226935,1
239,0.6009812,1
240,0.6009812,1
241,0.6009812,1
242,0.6009812,1
243,0.6009812,1
244,0.6009812,1
245,0.6009812,1
246,0.6009812,1
247,0.6009812,1
248,0.7184561,1
249,0.6009812,1
250,0.6009812,1
251,0.6009812,1
252,0.8062388,1
253,0.6009812,1
254,0.6009812,1
255,0.6009812,1
256,0.6009812,1
257,0.6009812,1
258,0.6009812,1
259,0.6009812,1
260,0.6009812,1
261,0.6009812,1
262,0.6009812,1
263,0.6009812,1
264,0.6009812,1
265,0.6009812,1
266,0.6009812,1
267,0.6009812,1
268,0.6009812,1
269,0.6009812,1
270,0.52098125,1
271,0.6009812,1
272,0.6009812,1
273,0.6009812,1
274,0.6009812,1
275,0.6009812,1
276,0.6009812,1
277,0.6009812,1
278,0.6009812,1
279,0.6009812,1
280,0.6009812,1
281,0.6009812,1
282,0.6009812,1
283,0.6009812,1
284,0.6009812,1
285,0.6009812,1
286,0.6009812,1
287,0.6009812,1
288,0.6009812,1
289,0.6009812,1
290,0.6009812,1
291,0.6009812,1
292,0.6009812,1
293,0.6009812,1
294,0.6009812,1
295,0.6009812,1
296,0.79226935,1
297,0.6009812,1
298,0.8062388,1
299,0.6009812,1
300,0.6009812,1
301,0.6009812,1
302,0.6009812,1
303,0.877385,1
304,0.6009812,1
305,0.6009812,1
306,0.6009812,1
307,0.6009812,1
308,0.6009812,1
309,0.6009812,1
310,0.52098125,1
311,0.6009812,1
312,0.6009812,1
313,0.6009812,1
314,0.6009812,1
315,0.6009812,1
316,0.6009812,1
317,0.6009812,1
318,0.6009812,1
319,0.6009812,1
320,0.52098125,1
321,0.6009812,1
322,0.6009812,1
323,0.6009812,1
324,0.6009812,1
325,0.6009812,1
326,0.6009812,1
327,0.6009812,1
328,0.6009812,1
329,0.52098125,1
330,0.6009812,1
331,0.6009812,1
332,0.6009812,1
333,0.79226935,1
334,0.6009812,1
335,0.6009812,1
336,0.6009812,1
337,0.6009812,1
338,0.6009812,1
339,0.6009812,1
340,0.6009812,1
341,0.6009812,1
342,0.6009812,1
343,0.6009812,1
344,0.6009812,1
345,0.6009812,1
346,0.6009812,1
347,0.52098125,1
348,0.52098125,1
349,0.52098125,1
350,0.6009812,1
351,0.6009812,1
352,0.6009812,1
353,0.8062388,1
354,0.6009812,1
355,0.6009812,1
